model,context_variant,custom_id,bump_bc_failure_category,bump_bc_errors_raw,bump_bc_errors,llm_detected_errors,matched_errors,missed_errors,new_errors,bump_total,llm_total,matched_count,missed_count,new_count,match_rate_%,num_failed_tests
GPT-4o,Class,BBC50,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,RuntimeException,,3,2,2,1,0,66.7,1
GPT-4o,Class,BBC54,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,1
GPT-4o,Class,BBC63,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,2
GPT-4o,Class,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,106
GPT-4o,Class,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,97
GPT-4o,Class,BBC101,TEST_FAILURE,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException,ArchiverException,,,ArchiverException,,1,0,0,1,0,0,4
GPT-4o,Class,BBC103,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,2
GPT-4o,Class,BBC131,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,2
GPT-4o,Class,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,12
GPT-4o,Class,BBC136,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,2
GPT-4o,Class,BBC145,TEST_FAILURE,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,3,0,0,3,0,0,3
GPT-4o,Class,BBC146,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,6
GPT-4o,Class,BBC147,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,,,ClassNotFoundException|NoClassDefFoundError,,2,0,0,2,0,0,1
GPT-4o,Class,BBC150,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,7
GPT-4o,Class,BBC162,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,2
GPT-4o,Class,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,15
GPT-4o,Class,BBC167,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,2
GPT-4o,Minimal,BBC02,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,RuntimeException,,3,2,2,1,0,66.7,1
GPT-4o,Minimal,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,11
GPT-4o,Minimal,BBC07,TEST_FAILURE,MojoFailureException,,,,,,0,0,0,0,0,0,3
GPT-4o,Minimal,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,NoSuchMethodError,NoClassDefFoundError,,2,1,1,1,0,50,10
GPT-4o,Minimal,BBC27,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,3
GPT-4o,Minimal,BBC36,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,12
GPT-4o,Minimal,BBC42,TEST_FAILURE,java.lang.NoClassDefFoundError|HecAckPollerTest.addWithTimeoutError|IndexerTest.sendWithCloseError|IndexerTest.sendWithIOError|IndexerTest.sendWithReadError|java.lang.Exception|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,Exception|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,,7,2,2,5,0,28.6,1
GPT-4o,Minimal,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,NoSuchMethodError,NoClassDefFoundError,,2,1,1,1,0,50,9
GPT-4o,Minimal,BBC50,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,RuntimeException,,3,2,2,1,0,66.7,1
GPT-4o,Minimal,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,45
GPT-4o,Minimal,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,47
GPT-4o,Minimal,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,NoSuchMethodError,NoClassDefFoundError,,2,1,1,1,0,50,11
GPT-4o,Minimal,BBC137,TEST_FAILURE,RuntimeSshException|java.io.IOException|java.lang.NoSuchMethodError|com.jcraft.jsch.JSchException|MojoFailureException,IOException|JSchException|NoSuchMethodError|RuntimeSshException,NoSuchMethodError,NoSuchMethodError,IOException|JSchException|RuntimeSshException,,4,1,1,3,0,25,1
GPT-4o,Minimal,BBC145,TEST_FAILURE,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,3,0,0,3,0,0,1
GPT-4o,Minimal,BBC146,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,2
GPT-4o,Minimal,BBC150,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,5
GPT-4o,Minimal,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,11
GPT-4o,Method,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,24
GPT-4o,Method,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,24
GPT-4o,Method,BBC27,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,3
GPT-4o,Method,BBC33,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,,,ClassNotFoundException|NoClassDefFoundError,,2,0,0,2,0,0,3
GPT-4o,Method,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,24
GPT-4o,Method,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,80
GPT-4o,Method,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,82
GPT-4o,Method,BBC101,TEST_FAILURE,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException,ArchiverException,,,ArchiverException,,1,0,0,1,0,0,2
GPT-4o,Method,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,23
GPT-4o,Method,BBC146,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,2
GPT-4o,Method,BBC147,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,1
GPT-4o,Method,BBC150,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,5
GPT-4o,Method,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,28
Qwen-480B,Minimal,BBC03,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,RuntimeException,,3,2,2,1,0,66.7,1
Qwen-480B,Minimal,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,80
Qwen-480B,Minimal,BBC07,TEST_FAILURE,MojoFailureException,,,,,,0,0,0,0,0,0,6
Qwen-480B,Minimal,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,77
Qwen-480B,Minimal,BBC27,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,1
Qwen-480B,Minimal,BBC36,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionError|ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionError,2,3,2,0,1,100,69
Qwen-480B,Minimal,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,IllegalArgumentException|InvocationTargetException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,IllegalArgumentException|InvocationTargetException,2,4,2,0,2,100,86
Qwen-480B,Minimal,BBC54,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,,,ClassNotFoundException|NoClassDefFoundError,,2,0,0,2,0,0,1
Qwen-480B,Minimal,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,AssertionFailedError|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,AssertionFailedError,2,3,2,0,1,100,75
Qwen-480B,Minimal,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionFailedError|ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionFailedError,2,3,2,0,1,100,82
Qwen-480B,Minimal,BBC101,TEST_FAILURE,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException,ArchiverException,,,ArchiverException,,1,0,0,1,0,0,1
Qwen-480B,Minimal,BBC131,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
Qwen-480B,Minimal,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,96
Qwen-480B,Minimal,BBC143,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,,,ClassNotFoundException|NoClassDefFoundError,,2,0,0,2,0,0,1
Qwen-480B,Minimal,BBC145,TEST_FAILURE,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,3,0,0,3,0,0,2
Qwen-480B,Minimal,BBC150,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,2
Qwen-480B,Minimal,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionError|ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionError,2,3,2,0,1,100,91
Qwen-480B,Minimal,BBC167,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
Qwen-480B,Method,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,75
Qwen-480B,Method,BBC07,TEST_FAILURE,MojoFailureException,,,,,,0,0,0,0,0,0,6
Qwen-480B,Method,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,91
Qwen-480B,Method,BBC27,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,1
Qwen-480B,Method,BBC33,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,2
Qwen-480B,Method,BBC36,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionError|ClassNotFoundException|IllegalArgumentException|InvocationTargetException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionError|IllegalArgumentException|InvocationTargetException,2,5,2,0,3,100,83
Qwen-480B,Method,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,InvocationTargetException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,InvocationTargetException,2,3,2,0,1,100,92
Qwen-480B,Method,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,AssertionFailedError|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,AssertionFailedError,2,3,2,0,1,100,68
Qwen-480B,Method,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionFailedError|ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionFailedError,2,3,2,0,1,100,72
Qwen-480B,Method,BBC103,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
Qwen-480B,Method,BBC115,TEST_FAILURE,org.json.JSONException|MojoFailureException,JSONException,NullPointerException,,JSONException,NullPointerException,1,1,0,1,1,0,1
Qwen-480B,Method,BBC131,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
Qwen-480B,Method,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,IllegalArgumentException|InvocationTargetException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,IllegalArgumentException|InvocationTargetException,2,4,2,0,2,100,87
Qwen-480B,Method,BBC136,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
Qwen-480B,Method,BBC145,TEST_FAILURE,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,3,0,0,3,0,0,2
Qwen-480B,Method,BBC146,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,1
Qwen-480B,Method,BBC147,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,1
Qwen-480B,Method,BBC150,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,4
Qwen-480B,Method,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,80
Qwen-480B,Method,BBC167,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,2
