custom_id,model,context_variant,total_tests_generated,tests_passed_v2,tests_failed_v2,bc_detected,bump_bc_failure_category,bump_bc_errors,bump_bc_errors_raw
BBC162,GPT-4o,Minimal,5,5,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC167,GPT-4o,Minimal,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC178,GPT-4o,Minimal,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC187,GPT-4o,Minimal,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC26,GPT-4o,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC42,GPT-4o,Method,1,1,0,False,TEST_FAILURE,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,java.lang.NoClassDefFoundError|HecAckPollerTest.addWithTimeoutError|IndexerTest.sendWithCloseError|IndexerTest.sendWithIOError|IndexerTest.sendWithReadError|java.lang.Exception|java.lang.ClassNotFoundException|MojoFailureException
BBC45,GPT-4o,Method,6,6,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC48,GPT-4o,Method,1,1,0,False,TEST_FAILURE,,MojoFailureException
BBC54,GPT-4o,Method,53,53,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC56,GPT-4o,Method,51,51,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC63,GPT-4o,Method,7,7,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC66,GPT-4o,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC98,GPT-4o,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC103,GPT-4o,Method,5,5,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC106,GPT-4o,Method,1,1,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|NoSuchFileException,java.lang.NoClassDefFoundError|java.nio.file.NoSuchFileException|java.lang.ClassNotFoundException|MojoFailureException
BBC115,GPT-4o,Method,8,8,0,False,TEST_FAILURE,JSONException,org.json.JSONException|MojoFailureException
BBC131,GPT-4o,Method,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC135,GPT-4o,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC136,GPT-4o,Method,7,7,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC162,GPT-4o,Method,6,6,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC167,GPT-4o,Method,8,8,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC178,GPT-4o,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC187,GPT-4o,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC04,GPT-4o,Class,1,1,0,False,TEST_FAILURE,ClassNotFoundException|EcmaError|ExceptionInInitializerError|ExtendedScriptException|IllegalArgumentException|JavaScriptException|KryoException|NoClassDefFoundError|ValidationException,java.lang.NoClassDefFoundError|java.lang.ExceptionInInitializerError|com.sun.phobos.script.util.ExtendedScriptException|org.mozilla.javascript.JavaScriptException|java.lang.IllegalArgumentException|com.esotericsoftware.kryo.kryo5.KryoException|org.eclipse.persistence.exceptions.ValidationException|org.mozilla.javascript.EcmaError|java.lang.ClassNotFoundException|MojoFailureException
BBC56,GPT-4o,Class,54,54,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC106,GPT-4o,Class,2,2,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|NoSuchFileException,java.lang.NoClassDefFoundError|java.nio.file.NoSuchFileException|java.lang.ClassNotFoundException|MojoFailureException
BBC137,GPT-4o,Class,1,1,0,False,TEST_FAILURE,IOException|JSchException|NoSuchMethodError|RuntimeSshException,RuntimeSshException|java.io.IOException|java.lang.NoSuchMethodError|com.jcraft.jsch.JSchException|MojoFailureException
BBC04,Qwen-480B,Minimal,8,8,0,False,TEST_FAILURE,ClassNotFoundException|EcmaError|ExceptionInInitializerError|ExtendedScriptException|IllegalArgumentException|JavaScriptException|KryoException|NoClassDefFoundError|ValidationException,java.lang.NoClassDefFoundError|java.lang.ExceptionInInitializerError|com.sun.phobos.script.util.ExtendedScriptException|org.mozilla.javascript.JavaScriptException|java.lang.IllegalArgumentException|com.esotericsoftware.kryo.kryo5.KryoException|org.eclipse.persistence.exceptions.ValidationException|org.mozilla.javascript.EcmaError|java.lang.ClassNotFoundException|MojoFailureException
BBC33,Qwen-480B,Minimal,21,21,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC45,Qwen-480B,Minimal,2,2,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC56,Qwen-480B,Minimal,24,24,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC63,Qwen-480B,Minimal,3,3,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC97,Qwen-480B,Minimal,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC103,Qwen-480B,Minimal,3,3,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC106,Qwen-480B,Minimal,1,1,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|NoSuchFileException,java.lang.NoClassDefFoundError|java.nio.file.NoSuchFileException|java.lang.ClassNotFoundException|MojoFailureException
BBC115,Qwen-480B,Minimal,1,1,0,False,TEST_FAILURE,JSONException,org.json.JSONException|MojoFailureException
BBC123,Qwen-480B,Minimal,1,1,0,False,TEST_FAILURE,NoSuchMethodError,java.lang.NoSuchMethodError|MojoFailureException
BBC136,Qwen-480B,Minimal,3,3,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC146,Qwen-480B,Minimal,18,18,0,False,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC147,Qwen-480B,Minimal,26,26,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC162,Qwen-480B,Minimal,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC04,Qwen-480B,Method,22,22,0,False,TEST_FAILURE,ClassNotFoundException|EcmaError|ExceptionInInitializerError|ExtendedScriptException|IllegalArgumentException|JavaScriptException|KryoException|NoClassDefFoundError|ValidationException,java.lang.NoClassDefFoundError|java.lang.ExceptionInInitializerError|com.sun.phobos.script.util.ExtendedScriptException|org.mozilla.javascript.JavaScriptException|java.lang.IllegalArgumentException|com.esotericsoftware.kryo.kryo5.KryoException|org.eclipse.persistence.exceptions.ValidationException|org.mozilla.javascript.EcmaError|java.lang.ClassNotFoundException|MojoFailureException
BBC26,Qwen-480B,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC41,Qwen-480B,Method,4,4,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC45,Qwen-480B,Method,2,2,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC48,Qwen-480B,Method,1,1,0,False,TEST_FAILURE,,MojoFailureException
BBC54,Qwen-480B,Method,44,44,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC56,Qwen-480B,Method,48,48,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC63,Qwen-480B,Method,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC97,Qwen-480B,Method,2,2,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC101,Qwen-480B,Method,63,63,0,False,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC106,Qwen-480B,Method,2,2,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|NoSuchFileException,java.lang.NoClassDefFoundError|java.nio.file.NoSuchFileException|java.lang.ClassNotFoundException|MojoFailureException
BBC135,Qwen-480B,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC148,Qwen-480B,Method,5,5,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC162,Qwen-480B,Method,5,5,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC04,Qwen-480B,Class,5,5,0,False,TEST_FAILURE,ClassNotFoundException|EcmaError|ExceptionInInitializerError|ExtendedScriptException|IllegalArgumentException|JavaScriptException|KryoException|NoClassDefFoundError|ValidationException,java.lang.NoClassDefFoundError|java.lang.ExceptionInInitializerError|com.sun.phobos.script.util.ExtendedScriptException|org.mozilla.javascript.JavaScriptException|java.lang.IllegalArgumentException|com.esotericsoftware.kryo.kryo5.KryoException|org.eclipse.persistence.exceptions.ValidationException|org.mozilla.javascript.EcmaError|java.lang.ClassNotFoundException|MojoFailureException
BBC26,Qwen-480B,Class,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC45,Qwen-480B,Class,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC63,Qwen-480B,Class,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC101,Qwen-480B,Class,168,168,0,False,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC103,Qwen-480B,Class,3,3,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC106,Qwen-480B,Class,2,2,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|NoSuchFileException,java.lang.NoClassDefFoundError|java.nio.file.NoSuchFileException|java.lang.ClassNotFoundException|MojoFailureException
BBC115,Qwen-480B,Class,4,4,0,False,TEST_FAILURE,JSONException,org.json.JSONException|MojoFailureException
BBC135,Qwen-480B,Class,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC136,Qwen-480B,Class,4,4,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC137,Qwen-480B,Class,1,1,0,False,TEST_FAILURE,IOException|JSchException|NoSuchMethodError|RuntimeSshException,RuntimeSshException|java.io.IOException|java.lang.NoSuchMethodError|com.jcraft.jsch.JSchException|MojoFailureException
BBC143,Qwen-480B,Class,1,1,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC147,Qwen-480B,Class,62,62,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC167,Qwen-480B,Class,2,2,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC27,GPTOSS-120b,Minimal,3,3,0,False,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC54,GPTOSS-120b,Minimal,3,3,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC101,GPTOSS-120b,Minimal,5,5,0,False,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC146,GPTOSS-120b,Minimal,2,2,0,False,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC147,GPTOSS-120b,Minimal,3,3,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC27,GPTOSS-120b,Method,5,5,0,False,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC33,GPTOSS-120b,Method,5,5,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC54,GPTOSS-120b,Method,2,2,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC56,GPTOSS-120b,Method,3,3,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC101,GPTOSS-120b,Method,7,7,0,False,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC103,GPTOSS-120b,Method,1,1,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC146,GPTOSS-120b,Method,3,3,0,False,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC147,GPTOSS-120b,Method,3,3,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC187,GPTOSS-120b,Method,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC04,GPTOSS-120b,Class,2,2,0,False,TEST_FAILURE,ClassNotFoundException|EcmaError|ExceptionInInitializerError|ExtendedScriptException|IllegalArgumentException|JavaScriptException|KryoException|NoClassDefFoundError|ValidationException,java.lang.NoClassDefFoundError|java.lang.ExceptionInInitializerError|com.sun.phobos.script.util.ExtendedScriptException|org.mozilla.javascript.JavaScriptException|java.lang.IllegalArgumentException|com.esotericsoftware.kryo.kryo5.KryoException|org.eclipse.persistence.exceptions.ValidationException|org.mozilla.javascript.EcmaError|java.lang.ClassNotFoundException|MojoFailureException
BBC27,GPTOSS-120b,Class,16,16,0,False,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC33,GPTOSS-120b,Class,7,7,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC54,GPTOSS-120b,Class,6,6,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC56,GPTOSS-120b,Class,8,8,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC63,GPTOSS-120b,Class,1,1,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC88,GPTOSS-120b,Class,1,1,0,False,TEST_FAILURE,AssertionError,java.lang.AssertionError|MojoFailureException
BBC101,GPTOSS-120b,Class,9,9,0,False,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC131,GPTOSS-120b,Class,1,1,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC136,GPTOSS-120b,Class,1,1,0,False,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC147,GPTOSS-120b,Class,8,8,0,False,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
