custom_id,model,context_variant,total_tests_generated,tests_passed_v2,tests_failed_v2,bc_detected,bump_bc_failure_category,bump_bc_errors,bump_bc_errors_raw
BBC72,GPT-4o,Method,80,0,80,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,GPT-4o,Method,82,0,82,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC101,GPT-4o,Method,68,66,2,True,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC132,GPT-4o,Method,23,0,23,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC146,GPT-4o,Method,89,87,2,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC147,GPT-4o,Method,53,52,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC150,GPT-4o,Method,5,0,5,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC165,GPT-4o,Method,28,0,28,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC03,GPT-4o,Class,1,0,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException
BBC06,GPT-4o,Class,16,0,16,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC07,GPT-4o,Class,2,0,2,True,TEST_FAILURE,,MojoFailureException
BBC17,GPT-4o,Class,14,0,14,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC27,GPT-4o,Class,127,121,6,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC33,GPT-4o,Class,55,54,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC36,GPT-4o,Class,10,0,10,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC42,GPT-4o,Class,1,0,1,True,TEST_FAILURE,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,java.lang.NoClassDefFoundError|HecAckPollerTest.addWithTimeoutError|IndexerTest.sendWithCloseError|IndexerTest.sendWithIOError|IndexerTest.sendWithReadError|java.lang.Exception|java.lang.ClassNotFoundException|MojoFailureException
BBC45,GPT-4o,Class,5,4,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC49,GPT-4o,Class,18,0,18,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC50,GPT-4o,Class,1,0,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException
BBC54,GPT-4o,Class,55,54,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC63,GPT-4o,Class,4,2,2,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC72,GPT-4o,Class,106,0,106,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,GPT-4o,Class,97,0,97,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC101,GPT-4o,Class,171,167,4,True,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC103,GPT-4o,Class,4,2,2,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC131,GPT-4o,Class,4,2,2,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC132,GPT-4o,Class,12,0,12,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC136,GPT-4o,Class,3,1,2,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC145,GPT-4o,Class,3,0,3,True,TEST_FAILURE,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException
BBC146,GPT-4o,Class,122,116,6,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC147,GPT-4o,Class,54,53,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC150,GPT-4o,Class,7,0,7,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC162,GPT-4o,Class,3,1,2,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC165,GPT-4o,Class,15,0,15,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC167,GPT-4o,Class,5,3,2,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC03,Qwen-480B,Minimal,1,0,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException
BBC06,Qwen-480B,Minimal,81,1,80,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC07,Qwen-480B,Minimal,6,0,6,True,TEST_FAILURE,,MojoFailureException
BBC17,Qwen-480B,Minimal,77,0,77,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC27,Qwen-480B,Minimal,27,26,1,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC36,Qwen-480B,Minimal,70,1,69,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC49,Qwen-480B,Minimal,86,0,86,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC54,Qwen-480B,Minimal,19,18,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC72,Qwen-480B,Minimal,75,0,75,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,Qwen-480B,Minimal,82,0,82,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC101,Qwen-480B,Minimal,54,53,1,True,TEST_FAILURE,ArchiverException,org.codehaus.plexus.archiver.ArchiverException|MojoFailureException
BBC131,Qwen-480B,Minimal,4,3,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC132,Qwen-480B,Minimal,96,0,96,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC143,Qwen-480B,Minimal,1,0,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC145,Qwen-480B,Minimal,2,0,2,True,TEST_FAILURE,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException
BBC150,Qwen-480B,Minimal,2,0,2,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC165,Qwen-480B,Minimal,92,1,91,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC167,Qwen-480B,Minimal,3,2,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC06,Qwen-480B,Method,78,3,75,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC07,Qwen-480B,Method,6,0,6,True,TEST_FAILURE,,MojoFailureException
BBC17,Qwen-480B,Method,91,0,91,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC27,Qwen-480B,Method,19,18,1,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC33,Qwen-480B,Method,49,47,2,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC36,Qwen-480B,Method,84,1,83,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC49,Qwen-480B,Method,92,0,92,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC72,Qwen-480B,Method,70,2,68,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,Qwen-480B,Method,72,0,72,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC103,Qwen-480B,Method,3,2,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC115,Qwen-480B,Method,3,2,1,True,TEST_FAILURE,JSONException,org.json.JSONException|MojoFailureException
BBC131,Qwen-480B,Method,2,1,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC132,Qwen-480B,Method,87,0,87,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC136,Qwen-480B,Method,5,4,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC145,Qwen-480B,Method,2,0,2,True,TEST_FAILURE,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException
BBC146,Qwen-480B,Method,21,20,1,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC147,Qwen-480B,Method,51,50,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC150,Qwen-480B,Method,4,0,4,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC165,Qwen-480B,Method,81,1,80,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC167,Qwen-480B,Method,4,2,2,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC06,Qwen-480B,Class,99,0,99,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC07,Qwen-480B,Class,2,0,2,True,TEST_FAILURE,,MojoFailureException
BBC17,Qwen-480B,Class,106,0,106,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC27,Qwen-480B,Class,61,59,2,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC33,Qwen-480B,Class,55,54,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC36,Qwen-480B,Class,102,1,101,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC42,Qwen-480B,Class,2,0,2,True,TEST_FAILURE,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,java.lang.NoClassDefFoundError|HecAckPollerTest.addWithTimeoutError|IndexerTest.sendWithCloseError|IndexerTest.sendWithIOError|IndexerTest.sendWithReadError|java.lang.Exception|java.lang.ClassNotFoundException|MojoFailureException
BBC49,Qwen-480B,Class,97,0,97,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC50,Qwen-480B,Class,1,0,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError|RuntimeException,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException
BBC54,Qwen-480B,Class,60,59,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC56,Qwen-480B,Class,62,61,1,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC72,Qwen-480B,Class,50,1,49,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,Qwen-480B,Class,48,1,47,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC131,Qwen-480B,Class,6,5,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC132,Qwen-480B,Class,100,0,100,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC145,Qwen-480B,Class,1,0,1,True,TEST_FAILURE,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException
BBC146,Qwen-480B,Class,62,60,2,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC150,Qwen-480B,Class,10,1,9,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC162,Qwen-480B,Class,3,2,1,True,TEST_FAILURE,ClassCastException,java.lang.ClassCastException|MojoFailureException
BBC165,Qwen-480B,Class,107,3,104,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC49,GPTOSS-120b,Minimal,1,0,1,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC72,GPTOSS-120b,Minimal,1,0,1,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,GPTOSS-120b,Minimal,5,0,5,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC145,GPTOSS-120b,Minimal,1,0,1,True,TEST_FAILURE,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException
BBC06,GPTOSS-120b,Method,5,0,5,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC17,GPTOSS-120b,Method,9,0,9,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC36,GPTOSS-120b,Method,14,0,14,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC49,GPTOSS-120b,Method,7,0,7,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC72,GPTOSS-120b,Method,8,0,8,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,GPTOSS-120b,Method,11,0,11,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC132,GPTOSS-120b,Method,11,0,11,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC165,GPTOSS-120b,Method,13,0,13,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC06,GPTOSS-120b,Class,9,0,9,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC07,GPTOSS-120b,Class,1,0,1,True,TEST_FAILURE,,MojoFailureException
BBC17,GPTOSS-120b,Class,3,0,3,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC36,GPTOSS-120b,Class,10,0,10,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC49,GPTOSS-120b,Class,5,0,5,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC72,GPTOSS-120b,Class,16,0,16,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC73,GPTOSS-120b,Class,11,0,11,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
BBC132,GPTOSS-120b,Class,6,0,6,True,TEST_FAILURE,NoClassDefFoundError|NoSuchMethodError,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException
BBC146,GPTOSS-120b,Class,23,22,1,True,TEST_FAILURE,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException
BBC165,GPTOSS-120b,Class,7,0,7,True,TEST_FAILURE,ClassNotFoundException|NoClassDefFoundError,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException
