context_variant,model,instance,test_file,test_case,num_assert_calls,oracle_methods_used,has_trycatch_assert,assert_calls,note,execution_result,llm_detected_errors,bump_bc_errors,matched_errors,missed_errors,new_errors,match_count,miss_count,new_count,error_type
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_validValue,1,assertEquals,False,"assertEquals(SoundType.VOWEL, result) [L22]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U64Test.java,test_getSoundsFromCsvBackup_emptyFile,1,assertTrue,False,assertTrue(sounds.isEmpty()) [L40],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U64Test.java,test_getSoundsFromCsvBackup_invalidFile,1,assertTrue,False,assertTrue(sounds.isEmpty()) [L49],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U64Test.java,test_getSoundsFromCsvBackup_nominal,3,assertEquals,False,"assertEquals(2, sounds.size()) [L29] ;; assertEquals(""a"", sounds.get(0).getValueIpa()) [L30] ;; assertEquals(""b"", sounds.get(1).getValueIpa()) [L31]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U68Test.java,test_extractChapterReferencesFromTableOfContentsFile,0,,False,,no explicit assertion in this test method,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U69Test.java,test_extractChapterReferencesFromTableOfContentsFileNcx,0,,False,,no explicit assertion in this test method,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_coverInHref,1,assertEquals,False,"assertEquals(""coverImage.jpeg"", coverImageReference) [L73]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_emptyFile,1,assertNull,False,assertNull(coverImageReference) [L88],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_noCoverImage,1,assertNull,False,assertNull(coverImageReference) [L50],,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_nominal,1,assertEquals,False,"assertEquals(""coverImage.jpg"", coverImageReference) [L27]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_emptyFile,1,assertNull,False,assertNull(description) [L65],,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_invalidXml,1,assertNull,False,assertNull(description) [L83],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_noDescription,1,assertNull,False,assertNull(description) [L50],,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_nominal,1,assertEquals,False,"assertEquals(""This is a test description."", description) [L27]",,ERROR,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,ClassNotFoundException|MojoFailureException,,1,2,0,crash
Class,GPT4o,BBC06,BBC06U76Test.java,test_getCleanedUpParagraph,6,assertEquals|fail,True,"assertEquals(expected1, result1) [L21] ;; assertEquals(expected2, result2) [L26] ;; assertEquals(expected3, result3) [L31] ;; assertEquals(expected4, result4) [L36] ;; assertEquals(expected5, result5) [L41] ;; fail(msg=""Exception occurred: "" + e.getMessage()) [L48]",,ERROR,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,MojoFailureException,,2,1,0,crash
Class,GPT4o,BBC103,BBC103U1Test.java,test_loginPerformed,1,assertTrue,False,"assertTrue(logOutput.contains(""Login successful."") | msg=""Expected log message not found."") [L27]",,FAILURE,AssertionFailedError,ClassCastException|MojoFailureException,,ClassCastException|MojoFailureException,AssertionFailedError,0,2,1,behavioral
Class,GPT4o,BBC103,BBC103U3Test.java,test_logoutPerformed,1,assertTrue,False,assertTrue(outContent.toString().contains(expectedOutput)) [L28],,FAILURE,AssertionFailedError,ClassCastException|MojoFailureException,,ClassCastException|MojoFailureException,AssertionFailedError,0,2,1,behavioral
Class,GPT4o,BBC131,BBC131U1Test.java,test_loginPerformed,1,assertTrue,False,"assertTrue(logOutput.contains(""Login successful."")) [L27]",,FAILURE,AssertionFailedError,ClassCastException|MojoFailureException,,ClassCastException|MojoFailureException,AssertionFailedError,0,2,1,behavioral
Class,GPT4o,BBC131,BBC131U3Test.java,test_logoutPerformed,1,assertTrue,True,"assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L30]",,FAILURE,AssertionFailedError,ClassCastException|MojoFailureException,,ClassCastException|MojoFailureException,AssertionFailedError,0,2,1,behavioral
Class,GPT4o,BBC132,BBC132U115Test.java,test_getWidth_boundary,1,assertEquals,False,"assertEquals(1, width) [L37]",,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U115Test.java,test_getWidth_error,2,assertEquals|fail,True,"fail(msg=""Expected an exception to be thrown"") [L48] ;; assertEquals(""java.lang.NullPointerException"", e.getClass().getName()) [L51]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U115Test.java,test_getWidth_nominal,1,assertEquals,False,"assertEquals(800, width) [L24]",,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U136Test.java,test_handleRequest,1,assertEquals,False,"assertEquals(""content/contributor/add-email"", result) [L19]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U140Test.java,test_handleRequest,1,assertEquals,False,"assertEquals(""content/contributor/edit-motivation"", result) [L19]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U144Test.java,test_handleRequest,3,assertEquals|assertNotNull,False,"assertEquals(""content/emoji/create"", viewName) [L34] ;; assertNotNull(emoji) [L36] ;; assertNotNull(logger) [L39]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U276Test.java,test_handleAuthorization,2,assertTrue,False,"assertTrue(result.startsWith(""redirect:"")) [L32] ;; assertTrue(result.contains(""https://discordapp.com/api/oauth2/authorize"")) [L33]",,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U276Test.java,test_logging,1,assertTrue,False,assertTrue(true) [L44],,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U286Test.java,test_handleRequest,1,assertEquals,False,"assertEquals(""welcome"", result) [L19]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U43Test.java,test_refreshStoryBooksJSONArray,0,,False,,no explicit assertion in this test method,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U61Test.java,test_getLettersFromCsvBackup_emptyFile,1,assertTrue,False,assertTrue(letters.isEmpty()) [L58],,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U61Test.java,test_getLettersFromCsvBackup_invalidFile,1,assertTrue,False,assertTrue(letters.isEmpty()) [L70],,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U61Test.java,test_getLettersFromCsvBackup_nominal,7,assertEquals,False,"assertEquals(2, letters.size()) [L33] ;; assertEquals(""a"", letter1.getText()) [L36] ;; assertEquals(false, letter1.isDiacritic()) [L37] ;; assertEquals(10, letter1.getUsageCount().intValue()) [L38] ;; assertEquals(""á"", letter2.getText()) [L41] ;; assertEquals(true, letter2.isDiacritic()) [L42] ;; assertEquals(5, letter2.getUsageCount().intValue()) [L43]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U63Test.java,test_extractSoundType_blankValue,1,assertNull,False,assertNull(result) [L46],,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U63Test.java,test_extractSoundType_invalidValue,1,assertNull,False,assertNull(result) [L34],,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U63Test.java,test_extractSoundType_validValue,1,assertEquals,False,"assertEquals(SoundType.VOWEL, result) [L22]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U64Test.java,test_getSoundsFromCsvBackup,11,assertEquals|assertTrue,True,"assertEquals(2, sounds.size()) [L35] ;; assertEquals(""a"", sound1.getValueIpa()) [L38] ;; assertEquals(""b"", sound1.getValueSampa()) [L39] ;; assertTrue(sound1.isDiacritic()) [L40] ;; assertEquals(""VOWEL"", sound1.getSoundType().name()) [L41] ;; assertEquals(10, sound1.getUsageCount().intValue()) [L42] ;; assertEquals(""c"", sound2.getValueIpa()) [L45] ;; assertEquals(""d"", sound2.getValueSampa()) [L46] ;; assertTrue(!sound2.isDiacritic()) [L47] ;; assertEquals(""CONSONANT"", sound2.getSoundType().name()) [L48] ;; assertEquals(20, sound2.getUsageCount().intValue()) [L49]",,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_coverInHref,1,assertEquals,False,"assertEquals(""coverImage.jpeg"", coverImageReference) [L61]",,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_emptyManifest,1,assertNull,False,assertNull(coverImageReference) [L78],,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_noCoverImage,1,assertNull,False,assertNull(coverImageReference) [L43],,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_nominal,1,assertEquals,False,"assertEquals(""coverImage.jpg"", coverImageReference) [L25]",,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_emptyFile,1,assertNull,False,assertNull(title) [L65],,ERROR,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,MojoFailureException|NoClassDefFoundError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_invalidXml,1,assertNull,False,assertNull(title) [L83],,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_noTitle,1,assertNull,False,assertNull(title) [L50],,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_nominal,1,assertEquals,False,"assertEquals(""Test Title"", title) [L27]",,ERROR,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,MojoFailureException|NoSuchMethodError,,1,2,0,crash
Class,GPT4o,BBC136,BBC136U1Test.java,test_loginPerformed,1,assertTrue,True,"assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L27]",,FAILURE,AssertionFailedError,ClassCastException|MojoFailureException,,ClassCastException|MojoFailureException,AssertionFailedError,0,2,1,behavioral
Class,GPT4o,BBC136,BBC136U3Test.java,test_logoutPerformed,1,assertTrue,True,"assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L30]",,FAILURE,AssertionFailedError,ClassCastException|MojoFailureException,,ClassCastException|MojoFailureException,AssertionFailedError,0,2,1,behavioral
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromByteArray,4,assertEquals|assertNotNull|fail,True,"assertNotNull(result) [L73] ;; assertEquals(""test"", result.getName()) [L74] ;; assertEquals(123, result.getValue()) [L75] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L77]",,ERROR,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException,,1,5,0,crash
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromByteArrayWithEmpty,2,assertNull|fail,True,"assertNull(result) [L100] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L102]",,PASSED,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0,6,0,
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromByteArrayWithNull,2,assertNull|fail,True,"assertNull(result) [L87] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L89]",,PASSED,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0,6,0,
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromInputStream,4,assertEquals|assertNotNull|fail,True,"assertNotNull(result) [L45] ;; assertEquals(""test"", result.getName()) [L46] ;; assertEquals(123, result.getValue()) [L47] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L49]",,ERROR,ClassNotFoundException|NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException|MojoFailureException,,2,4,0,crash
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromInputStreamWithNull,2,assertNull|fail,True,"assertNull(result) [L59] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L61]",,PASSED,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0,6,0,
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromString,4,assertEquals|assertNotNull|fail,True,"assertNotNull(result) [L17] ;; assertEquals(""test"", result.getName()) [L18] ;; assertEquals(123, result.getValue()) [L19] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L21]",,ERROR,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException,,1,5,0,crash
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromStringWithNull,2,assertNull|fail,True,"assertNull(result) [L31] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L33]",,PASSED,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0,6,0,
